f_id,f_user_id,f_mission_id,f_mission_type,f_diff,f_reason,f_metadata,f_created_at
16610560-5c49-46f4-9ff8-bd9b20c3660a,be394897-8f75-483a-b7ab-96a9997bf4a2,2b428bb2-99cd-4dd6-88a8-9f1799309061,mission1,100,"[예측 픽] AorB 정답 성공 ",null,2025-12-03 06:48:08.818313+00
fa67945f-5e4d-4c1b-9e43-ca7e9422e8d7,be394897-8f75-483a-b7ab-96a9997bf4a2,b7680b4c-76a3-4cb1-82b2-dc0a2dc3bc88,mission1,10,[공감 픽] 6469 참여 보상,null,2025-12-03 07:08:59.491278+00
9fce2eb0-2498-4eba-a089-5430c38efb67,be394897-8f75-483a-b7ab-96a9997bf4a2,ed2862c8-8dfb-487e-b7fd-0734c9a0d485,mission1,10,[공감 픽] 456 참여 보상,null,2025-12-03 07:15:37.38462+00
8017cffc-a34c-4fe4-a2fb-deff7ca4513c,be394897-8f75-483a-b7ab-96a9997bf4a2,fbc75fed-589f-4490-b287-574bce3a34a3,mission2,-500,[커플 매칭] 커플매칭 누가 될까 결과 정산,null,2025-12-05 04:07:28.968265+00
9006a930-68d6-483f-8901-45c0ca04abb5,be394897-8f75-483a-b7ab-96a9997bf4a2,6e62d5b2-c762-4eb6-af89-3012a7b25b21,mission2,-450,[커플 매칭] 최종 커플 매칭 결과 정산,null,2025-12-05 04:11:52.500363+00
1a0f10d5-fd1a-4e32-92ff-2d0eb73c2f31,be394897-8f75-483a-b7ab-96a9997bf4a2,6eae6d98-504d-4131-b143-64997c801b89,mission1,10,[공감 픽] 464 참여 보상,null,2025-12-05 04:13:07.993009+00
e7b9c24b-99ee-418a-9cc6-dfa3c4e0a4ae,be394897-8f75-483a-b7ab-96a9997bf4a2,60ae1d22-bde8-4ea0-bcd4-cddf8e1534f2,mission2,1000,[커플 매칭] 28기 최종 커플 매칭은? 결과 정산,null,2025-12-05 04:16:00.24019+00
48282b8a-1a1e-40cf-a640-3ccd3d614275,be394897-8f75-483a-b7ab-96a9997bf4a2,414b774c-50ed-4f42-93ba-c51b294118ef,mission2,-300,[커플 매칭] 커플매칭 결과 정산,null,2025-12-05 04:59:46.657534+00
f8fc2c93-a938-48ef-9911-8460080c7b1d,be394897-8f75-483a-b7ab-96a9997bf4a2,6ba38889-d111-410b-b2d9-ca28b9db9a21,mission2,1600,[커플 매칭] 커플 매칭 결과 정산,null,2025-12-05 05:32:24.962121+00
45a44548-ec35-4367-b4b3-8044971058d0,be394897-8f75-483a-b7ab-96a9997bf4a2,482d9980-88f6-4ed2-a21b-874c3e33d420,mission2,900,[커플 매칭] 최종 커플 결과 정산,null,2025-12-08 03:59:47.549856+00
0a0ac825-e09a-470e-8c56-215053487876,be394897-8f75-483a-b7ab-96a9997bf4a2,8f5b7b3b-26ec-4156-8ced-6c5f1da3d6c7,mission2,1000,[커플 매칭] 최종커플매칭 결과 정산,null,2025-12-08 05:39:40.840744+00
d233b50b-3d7e-4218-8e05-13107bb408a0,be394897-8f75-483a-b7ab-96a9997bf4a2,6d5af4b9-0f78-4201-b75c-352199e2da32,mission2,250,[커플 매칭] 커플 매칭 결과 결과 정산,null,2025-12-08 06:12:34.808474+00
8820ae8c-e388-4b5e-82df-c552ad419064,be394897-8f75-483a-b7ab-96a9997bf4a2,80c82187-f93e-4e3c-9538-8647b07aa2c5,mission1,100,"[예측 픽] aaa 정답 성공 ",null,2025-12-08 06:15:55.240783+00
55e4d490-9596-425a-acfc-f14d1c05f5f8,be394897-8f75-483a-b7ab-96a9997bf4a2,d70b6634-de2a-4f88-a76b-0951a684f2a4,mission1,10,[공감 픽] 1234 참여 보상,null,2025-12-09 06:36:45.108506+00
b175056c-8a8e-42b9-ab96-918fd1d05ff0,be394897-8f75-483a-b7ab-96a9997bf4a2,6a78d9bb-f2f7-4777-be52-dff0eaf90600,mission1,10,[공감 픽] 가장 매력있는 남출은? 참여 보상,null,2025-12-09 06:36:53.63712+00
44cc75b1-9866-4b5b-9331-fe4ab4a961e4,be394897-8f75-483a-b7ab-96a9997bf4a2,95f3bda1-2007-4628-bee8-4c8d007f66e0,mission1,10,[공감 픽] 옥순의 이름은 이쁜 것 같다.. 참여 보상,null,2025-12-09 07:23:27.66601+00
0a97ebc8-554d-4bed-9095-46d75884fdbe,be394897-8f75-483a-b7ab-96a9997bf4a2,a9011464-f9d0-46f8-9175-8d8c6a1cffcb,mission1,10,[공감 픽] 승부 참여 보상,null,2025-12-09 07:40:59.992707+00
c3fa3d99-17fd-481f-b9c7-e9464d94e592,be394897-8f75-483a-b7ab-96a9997bf4a2,42867054-9cf3-4d4f-87aa-18b64f7d541c,mission1,10,[공감 픽] 최종 커플매칭 과연 어떻게 될까? 참여 보상,null,2025-12-11 06:47:57.767081+00
0423531b-8bac-42b0-9766-676475716a23,be394897-8f75-483a-b7ab-96a9997bf4a2,7e6cd9f4-d94e-4903-a21a-2c7cdf55e69c,mission1,10,[공감 픽] asdf 참여 보상,null,2025-12-12 04:52:56.293174+00
bd2d2996-5af1-4552-90a1-4e456899dfc2,651b7438-8cf1-462a-9ef5-99e245d5bf01,300b2476-134c-42a8-9bbf-7e42bf8957b5,mission1,10,"[공감 픽] 내가 만약 출연했다면, 선택했을 것 같은 여자 출연자 참여 보상",null,2025-12-15 05:51:17.250512+00
f0f7ecd0-3d3b-44b1-9678-d311af6163a4,651b7438-8cf1-462a-9ef5-99e245d5bf01,2cdf8a03-35d2-4d78-86da-641bd46d67af,mission1,10,[공감 픽] 둘 중 하나 고르기 참여 보상,null,2025-12-15 05:51:29.950338+00
a1bd5101-f7d7-45b6-8c7c-1c539761510a,594078ff-89be-421e-8f57-0381f2a5f61c,fbaada1f-570d-484f-a289-dd2ad1b151d2,mission1,10,[공감 픽] 외모가 취향인 사람 vs 성격이 잘 맞는 사람 참여 보상,null,2025-12-15 06:20:23.175361+00
e2bb6981-1b4c-4573-8542-99e21f70832b,651b7438-8cf1-462a-9ef5-99e245d5bf01,f7ffcfb2-3a76-4117-8884-0f9235ecfa25,mission1,10,[공감 픽] 상철이 영숙에게 보인 플러팅은 내가봐도 홀린다 참여 보상,null,2025-12-18 05:21:04.216218+00
80896c72-8656-4371-b1dc-1b0e6fe863b3,651b7438-8cf1-462a-9ef5-99e245d5bf01,c8b3b354-68b1-4b30-8733-2fece6e6f0df,mission1,10,[공감 픽] 현숙의 데이트 착장은 이번에 괜찮았다 참여 보상,null,2025-12-22 05:54:17.473719+00
79dd5f75-6c6a-4381-83b9-030a623793c7,651b7438-8cf1-462a-9ef5-99e245d5bf01,84b6a141-9c58-43e1-b275-ea3d8d17e534,mission1,10,[공감 픽] 가장 케미가 좋은 커플 참여 보상,null,2025-12-24 06:16:44.782349+00
36eed140-e65f-475f-ab93-adb655badaed,651b7438-8cf1-462a-9ef5-99e245d5bf01,72d10a51-eb67-41d4-94e2-5ccfbf38e61c,mission1,-50,"[예측 픽] 오늘의 선발 투수는 과연 누구 정답 실패 ",null,2025-12-24 06:17:14.125867+00
8768c45e-a06f-4619-ac46-0cdde49e0607,8b588b86-a7e1-47e3-83fc-a09c44df2e7c,f841aed8-0eec-44ed-b98b-0f677195b2be,mission1,10,[공감 픽] 이번기수가 가장 역대급 기수 참여 보상,null,2025-12-26 05:30:48.972148+00
01ceab92-2da7-492f-a156-55e96d283c27,8b588b86-a7e1-47e3-83fc-a09c44df2e7c,fc738fa4-fdc2-4a40-9bb2-559197ab7887,mission1,10,[공감 픽] dd 참여 보상,null,2025-12-26 05:31:33.706109+00
ea60c6c0-acec-4f27-bc8d-9ce47f5dacd7,651b7438-8cf1-462a-9ef5-99e245d5bf01,7660221a-5f0c-49fa-b4b9-be5406b247a2,mission1,100,"[예측 픽] 오늘의 승패는 정답 성공 ",null,2025-12-30 04:57:31.611027+00
61616262-16eb-41cb-b950-ecbb3140dfbe,651b7438-8cf1-462a-9ef5-99e245d5bf01,91549226-aefa-4aa8-acdd-e620bdf08ff5,mission1,100,"[예측 픽] 영숙과 광수의 케미는 100% 정답 성공 ",null,2025-12-30 06:30:37.960992+00
3406ea89-a371-4ea0-b515-f87dbb4b2a90,651b7438-8cf1-462a-9ef5-99e245d5bf01,11f0eab3-1ed5-46e6-a9e6-d0e211897689,mission1,10,[공감 픽] 도라도 이번에 1등할만 했다 참여 보상,null,2025-12-31 04:01:57.488941+00
6a674f9a-8209-4719-aa6a-f6f5bf20f341,651b7438-8cf1-462a-9ef5-99e245d5bf01,9ce00813-9337-44ab-9ceb-2d03e94a3c3a,mission1,10,[공감 픽] 커플매칭하기 참여 보상,null,2026-01-06 07:07:41.121101+00
e1c462de-128d-424e-848c-579aa8ad08c1,651b7438-8cf1-462a-9ef5-99e245d5bf01,f0007971-6617-49ae-aecf-34852bc14d80,mission1,10,[공감 픽] 가장 패션감각이 있는 출연자는 참여 보상,null,2026-01-07 05:06:03.717491+00
22d57580-ecfc-48ca-9b3e-32262ec0f7ac,651b7438-8cf1-462a-9ef5-99e245d5bf01,8703269f-fd30-4c8a-b547-bc9f45928992,mission1,-50,"[예측 픽] 골때리는 그녀, 우승팀은? 정답 실패 ",null,2026-01-07 06:14:57.645585+00
95bef19b-45a1-4852-9005-ea9cec003ba8,651b7438-8cf1-462a-9ef5-99e245d5bf01,0596443e-5ed7-49ec-9e59-be882801b9fd,mission1,-50,"[예측 픽] 이미 완성형 가수 vs 성장 가능성이 보이는 가수 정답 실패 ",null,2026-01-07 06:15:04.423259+00
852e7cda-a84b-4ef7-8f8b-eaa7d332a85c,651b7438-8cf1-462a-9ef5-99e245d5bf01,3f42a3c6-c59d-4a72-bd99-599ac1e6802b,mission1,10,[공감 픽] 유식과 민경이가 재결합을 하면 좋을 것 같다 참여 보상,null,2026-01-07 06:28:47.894384+00